title,paragraph
Caroline Ridderstolpe,"Caroline Johanna Lovisa Ridderstolpe, née Kolbe (September 2, 1793 – October 8, 1878) was a Swedish composer and singer."
Oskar Rieding,"Oskar Rieding (29 June 1846 in Banie, Pomerania, now Poland–7 July 1916 in Celje, Austria-Hungary, now Slovenia)[1] was a German violinist, teacher of music, and composer."
Ferdinand Ries,"Ferdinand Ries (baptised 28 November 1784 – 13 January 1838) was a German composer. Ries was a friend, pupil and secretary of Ludwig van Beethoven. He composed eight symphonies, a violin concerto, nine piano concertos (the first concerto is not published), three operas, and numerous other works, including 26 string quartets. In 1838 he published a collection of reminiscences of his teacher Beethoven, co-written with Franz Wegeler. The symphonies, some chamber works—most of them with piano—his violin concerto and his piano concertos have been recorded, exhibiting a style which, given his connection to Beethoven, lies between the Classical and early Romantic styles."
Franz Ries,"Franz Ries (Berlin, 7 April 1846 – Naumburg, 20 January 1932) was a Romantic German violinist and composer, son of Hubert Ries. He studied at the Paris Conservatory. He also worked in the publishing business."
Hubert Ries,Pieter Hubert Ries (1 April 1802 – 14 September 1886) was a German violinist and composer.
Ernst Richter,"Ernst Friedrich Eduard Richter (24 October 1808 – 9 April 1879), was a German musical theorist and composer, born at Großschönau, Saxony."
Hugo Riesenfeld,"Hugo Riesenfeld (January 26, 1879 – September 10, 1939) was an Austrian-American composer. As a film director, he began to write his own orchestral compositions for silent films in 1917, and co-created modern production techniques where film scoring serves an integral part of the action. Riesenfeld composed about 100 film scores in his career."
Julius Rietz,"August Wilhelm Julius Rietz (28 December 1812 – 12 September 1877[1]) was a German composer, conductor, cellist, and teacher. His students included Woldemar Bargiel,[2] Salomon Jadassohn, Arthur O'Leary, and (by far the most celebrated) Sir Arthur Sullivan.[3] He also edited many works by Felix Mendelssohn for publication."
Victor Rifaut,"Victor Rifaut (11 January 1799 — 2 March 1838) was a French musician of the first half of the 19th century specialising in opéra comique. A composer of the second order, he rubbed shoulders with masters of the genre such as Auber and Adolphe Adam and often collaborated with them."
August Gottfried Ritter,August Gottfried Ritter (25 August 1811 – 26 August 1885) was a German romantic composer and organist.
Philipp Jakob Riotte,"Philipp Jakob Riotte (16 August 1776 – 1856) was a German composer who lived primarily in Vienna. In the 1820s, his works were among the most-performed at the Theater an der Wien. He was a contemporary of Ludwig van Beethoven.  Very few of his works remain in the active repertoire today."
Julie Rivé-King,"Julie Rivé-King (October 30, 1854[1] – July 28, 1937) was an American pianist and composer."
Théodore Ritter,"Toussaint Prévost, known under the pseudonym Théodore Ritter (5 April 1840 – 6 April 1886) was a 19th-century French composer and pianist."
Fanny Arthur Robinson,"Fanny Arthur Robinson (September 1831 – 31 October 1879) was an English pianist, music educator and composer who spent most of her career in Dublin, Ireland."
Nikolai Rimsky-Korsakov,"Nikolai Andreyevich Rimsky-Korsakov[a] (18 March 1844 – 21 June 1908[b])  was a Russian composer, a member of the group of composers known as The Five.[c] He was a master of orchestration. His best-known orchestral compositions—Capriccio Espagnol, the Russian Easter Festival Overture, and the symphonic suite Scheherazade—are staples of the classical music repertoire, along with suites and excerpts from some of his 15 operas. Scheherazade is an example of his frequent use of fairy-tale and folk subjects."
Christian Heinrich Rinck,Johann Christian Heinrich Rinck (18 February 1770 – 23 July 1846) was a German composer and organist of the late classical and early romantic eras.
Joseph Robinson (composer),"Joseph Robinson (16 August 1815 – 23 August 1898) was an Irish composer, baritone, conductor, and teacher."
August Röckel,Carl August Röckel (1 December 1814 – 18 June 1876) was a German composer and conductor. He was a friend of Richard Wagner and active in the Revolutions of 1848.
Pierre Rode,Jacques Pierre Joseph Rode (16 February 1774 – 25 November 1830) was a French violinist and composer.
Jean Roger-Ducasse,"Jean Jules Aimable Roger-Ducasse (Bordeaux, 18 April 1873 – Le Taillan-Médoc (Gironde), 19 July 1954) was a French composer."
James Hotchkiss Rogers,"James Hotchkiss Rogers (February 7, 1857 – November 28, 1940) was an American organist, composer, teacher, music critic, and publisher.[1]"
Antonio Rolla,"Giuseppe Antonio Rolla (18 April 1798, in Parma – 19 March 1837, in Dresden) was an Italian violin and viola virtuoso and composer."
Alessandro Rolla,"Alessandro Rolla (Italian pronunciation: [alesˈsandro ˈrɔlla]; 23 April 1757 – 14 September 1841[1]) was an Italian viola and violin virtuoso, composer, conductor and teacher. His son, Antonio Rolla, was also a violin virtuoso and composer."
Jean-Joseph Rodolphe,"Jean-Joseph Rodolphe (14 October 1730 – 12 August 1812) was a French horn player, violinist and composer."
Dionysius Rodotheatos,"Dionysius Rodotheatos (Greek: Διονύσιος Ροδοθεάτος, Italian: Dionisio Rodoteato; 1849, Ithaca – 1892, Corfu) was a Greek conductor and composer."
Caro Roma,"Caro Roma (1866–1937) was the stage name of Carrie Northey, an American singer and composer known for Tin Pan Alley era songs."
Stefano Ronchetti-Monteviti,"Stefano Ronchetti-Monteviti (1814–1882) was an Italian composer, music educator, and college administrator. Born in Asti, he joined the faculty of the Milan Conservatory in 1850 as a professor of counterpoint. He was appointed the school's director in 1878, a post he held until illness forced him to resign in November 1881. He died the following year in Casale Monferrato. His notable pupils included Franco Faccio, Giacomo Puccini, and Ivan Zajc. His compositional output mainly consists of sacred music. His opera Pergolese premiered at La Scala on 16 March 1857. It used a libretto by Temistocle Solera and starred soprano Maria Spezia-Aldighieri.[1]"
Antoine Romagnesi,"Antoine Joseph Michel Romagnesi (1 September 1781 – 9 January 1850) was a 19th-century French composer, music publisher and music theorist.[1]"
Amanda Röntgen-Maier,Amanda Röntgen-Maier (20 February 1853 – 15 July 1894) was a Swedish violinist and composer. She was the first female graduate in music direction from the Royal College of Music in Stockholm in 1872.[1]
Guy Ropartz,"Joseph Guy Marie Ropartz (French: [ʁɔpaʁts]; 15 June 1864 – 22 November 1955) was a French composer and conductor. His compositions included five symphonies, three violin sonatas, cello sonatas, six string quartets, a piano trio and string trio (both in A minor), stage works, a number of choral works and other music, often alluding to his Breton heritage. Ropartz also published poetry."
William Michael Rooke,William Michael Rooke (29 September 1794 – 14 October 1847) was an Irish violinist and composer.
Juventino Rosas,José Juventino Policarpo Rosas Cadenas (25 January 1868 – 9 July 1894) was a Mexican composer and violinist.
Jakob Rosenhain,"Jakob Rosenhain (Jacob, Jacques) (2 December 1813 – 21 March 1894) was a German Jewish pianist and composer."
Julius Röntgen,"Julius Engelbert Röntgen (9 May 1855 – 13 September 1932) was a German-Dutch composer of classical music. He was a friend of Liszt, Brahms and Grieg.[1]"
Lauro Rossi,"Lauro Rossi (born in Macerata, 19 February 1810;[1] died in Cremona, 5 May 1885), was an Italian composer, particularly of operas. There is no known connection with Luigi Rossi (1597–1653)."
Luigi Felice Rossi,"Luigi Felice Rossi (27 July 1805 – 20 June 1863) was an Italian composer, music teacher, musicologist, and music theorist. He mainly composed instrumental and sacred music. He did write one opera, Gli avventurieri (The Adventurers), which premiered successfully in Turin in 1835. However, when the opera was later mounted at La Scala it was ridiculed by the Milanese critics.[1]"
Bertrand Roth,Bertrand Roth (12 February 1855 – 24 January 1938) was a Swiss composer and pianist.
Gioachino Rossini,"Gioachino[n 1] Antonio Rossini[n 2] (29 February 1792 – 13 November 1868) was an Italian composer who gained fame for his 39 operas, although he also wrote many songs, some chamber music and piano pieces, and some sacred music. He set new standards for both comic and serious opera before retiring from large-scale composition while still in his thirties, at the height of his popularity."
Mathilde von Rothschild,"Hannah Mathilde von Rothschild (5 March 1832 – 8 March 1924) was a German-Jewish baroness, composer and patron."
Claude Joseph Rouget de Lisle,"Claude Joseph Rouget de Lisle (French: [klod ʒɔzɛf ʁuʒɛ d(ə) lil]), sometimes spelled de l'Isle or de Lile[3] (10 May 1760 – 26 June 1836), was a French army officer of the French Revolutionary Wars. He is known for writing the words and music of the Chant de guerre pour l'armée du Rhin in 1792, which would later be known as La Marseillaise and become the French national anthem.[4]"
Hans Rott,"Johann Nepomuk Karl Maria Rott (1 August 1858 – 25 June 1884) was an Austrian composer and organist. His music is little-known today, though he received high praise in his time from Gustav Mahler and Anton Bruckner. He left a symphony and Lieder, among other works."
Anton Rubinstein,"Anton Grigoryevich Rubinstein (Russian: Антон Григорьевич Рубинштейн, tr. Anton Grigor'evič Rubinštejn; 28 November [O.S. 16 November] 1829 – 20 November [O.S. 8 November] 1894) was a Russian pianist, composer and conductor who became a pivotal figure in Russian culture when he founded the Saint Petersburg Conservatory. He was the elder brother of Nikolai Rubinstein, who founded the Moscow Conservatory."
Albert Roussel,"Albert Charles Paul Marie Roussel (French: [albɛːʁ ʁusɛl]; 5 April 1869 – 23 August 1937) was a French composer. He spent seven years as a midshipman, turned to music as an adult, and became one of the most prominent French composers of the interwar period. His early works were strongly influenced by the impressionism of Debussy and Ravel, while he later turned toward neoclassicism."
Nikolai Rubinstein,"Nikolai Grigoryevich Rubinstein (Russian: Николай Григорьевич Рубинштейн; 14 June [O.S. 2 June] 1835 – 23 March [O.S. 11 March] 1881) was a Russian pianist, conductor, and composer. He was the younger brother of Anton Rubinstein and a close friend of Pyotr Ilyich Tchaikovsky."
Ernst Rudorff,"Ernst Friedrich Karl Rudorff (January 18, 1840 – December 31, 1916) was a German composer and music teacher, also a founder of nature protection movement."
Johann Rufinatscha,"Johann Rufinatscha (1 October 1812 – 25 May 1893[1]) was an Austrian composer, theorist and music teacher.[2]"
Constance Faunt Le Roy Runcie,"Constance Faunt Le Roy Runcie (or Fauntleroy) (January 15, 1836 – May 17, 1911) was an American pianist, author and composer."
Gilda Ruta,"Gilda Ruta (13 October 1853 – 26 October 1932) was an Italian pianist, music educator  and composer."
Carl Ruggles,"Carl Ruggles (born Charles Sprague Ruggles; March 11, 1876 – October 24, 1971) was an American composer, painter and teacher. His pieces employed ""dissonant counterpoint"", a term coined by fellow composer and musicologist Charles Seeger to describe Ruggles' music. His method of atonal counterpoint was based on a non-serial technique of avoiding repeating a pitch class until a generally fixed number of eight pitch classes intervened. He is considered a founder of the ultramodernist movement of American composers that included Henry Cowell and Ruth Crawford Seeger, among others. He had no formal musical education, yet was an extreme perfectionist — writing music at a painstakingly slow rate and leaving behind a very small output."
Wilhelm Rust,"Wilhelm Rust (August 15, 1822 – May 2, 1892) was a German musicologist and composer. He is most noted today for his substantial contributions to the Bach Gesellschaft edition of the works of Johann Sebastian Bach."
Charles Wugk Sabatier,"Charles-Désiré-Joseph Wugk Sabatier (1 December 1819 – 22 August 1862) was a Canadian pianist,[1] organist, composer, and music educator of French birth.[2]"
Martha von Sabinin,Martha von Sabinin (30 May 1831 – 1892) was a Russian composer and pianist.
Richard Sahla,"Richard Sahla (17 September 1855 in Graz – 30 April 1931 in Bückeburg) was a concert violinist, conductor and composer."
Camille Saint-Saëns,
Théodore Salomé,Théodore-César Salomé (20 January 1834 – 26 July 1896) was a French organist and composer.
Siegfried Saloman,"Siegfried Saloman (born 2 October 1816 in Tønder, Denmark – died on 22 July 1899 in Dalarö, Sweden) was a Danish violinist and composer. A contemporary of Franz Liszt, he was a pupil of Johannes Frederik Fröhlich, Holger Simon Paulli, Frederik Thorkildsen Wexschall and Johan Peter Emilius Hartmann, from whom he received violin-playing lessons. He toured extensively throughout Europe with the Swedish opera singer Henriette Nissen, to whom he was married in 1850. In 1842 his nine booklets of romances and songs were published in Hamburg.[1]"
Gaston Salvayre,Gervais Bernard Gaston Salvayre (24 June 1847 – 17 May 1916) was a French composer and music critic who won the Prix de Rome for composition in 1872.[1]
Matteo Salvi,Matteo Salvi (24 November 1816 – 18 October 1887 [1]) was a composer of opera and classical music and a theatre director.
Antonio Salieri,"Antonio Salieri[a] (18 August 1750 – 7 May 1825) was an Italian[4] classical composer, conductor, and teacher. He was born in Legnago, south of Verona, in the Republic of Venice, and spent his adult life and career as a subject of the Habsburg monarchy."
Mary Elizabeth Turner Salter,"Mary Elizabeth Turner Salter (15 March 1856 – 12 September 1938[1]) was an American soprano and composer. She was born in Peoria, Illinois, the daughter of Jonathan and Mary E. Hinds Turner. Turner graduated from Burlington High School in Burlington, Iowa, and the Boston College of Music, and then worked as a voice teacher at Wellesley College and performed in churches. In 1881 she married Sumner Salter. She died in Orangeburg, New York.[2] She was one of the founding members of the American Society of Women Composers.[3]"
Spyridon Samaras,"Spyridon-Filiskos Samaras (also Spyros, Spiro Samára; Greek: Σπυρίδων Σαμάρας) (29 November [O.S. 17 November] 1861 – 7 April [O.S. 25 March] 1917) was a Greek composer particularly admired for his operas who was part of the generation of composers that heralded the works of Giacomo Puccini. His compositions were praised worldwide during his lifetime and he is arguably the most important composer of the Ionian School. He composed also the Olympic Hymn on lyrics of Kostis Palamas. Among his works are the operas Flora mirabilis (1886) and Mademoiselle de Belle-Isle (1905)."
Samuel Maju Samehtini,Samuel Maju Samehtini (14 March 1816 – 10 December 1879) was a Dutch musician and composer.
Adolphe Samuel,"Adolphe-Abraham Samuel (11 July 1824 Liège, Belgium – 11 September 1898 Ghent, Belgium)[1][2][3] was a Belgian music critic, teacher, conductor and composer."
Amanda Sandborg Waesterberg,Amanda Teresia Waesterberg (1842–1918) was a Swedish composer.
Pablo de Sarasate,"Pablo Martín Melitón de Sarasate y Navascués (Spanish pronunciation: [ˈpaβlo saɾaˈsate]; 10 March 1844 – 20 September 1908), commonly known as Pablo de Sarasate, was a Spanish (Navarrese) violin virtuoso, composer and conductor of the Romantic period. His best known works include Zigeunerweisen (Gypsy Airs), the Spanish Dances, and the Carmen Fantasy.[1]"
Antonio Sapienza,"Antonio Sapienza (18 June 1794 – 1855) was an Italian composer and conductor. He was born in St. Petersburg, Russia where he began his musical studies with his father who was also called Antonio. (Antonio Sapienza Sr. (1755–1829) had emigrated from Naples to Russia in 1783 and served as a musician and voice teacher at the Russian imperial court.)[1]"
Gustave Satter,Gustave Satter (12 February 1832 – after 1882[1]) was an Austrian composer and pianist.
Emil von Sauer,"Emil Georg Conrad von Sauer (8 October 1862 – 27 April 1942)[1] was a German composer, pianist, score editor, and music (piano) teacher. He was a pupil of Franz Liszt and one of the most distinguished pianists of his generation. Josef Hofmann called von Sauer ""a truly great virtuoso.""[2] Martin Krause, another Liszt pupil, called von Sauer ""the legitimate heir of Liszt; he has more of his charm and geniality than any other Liszt pupil.""[3]"
Erik Satie,"Eric Alfred Leslie Satie (UK: /ˈsæti, ˈsɑːti/, US: /sæˈtiː, sɑːˈtiː/;[1][2] French: [eʁik sati]; 17 May 1866 – 1 July 1925), who signed his name Erik Satie after 1884, was a French composer and pianist. He was the son of a French father and a British mother. He studied at the Paris Conservatoire, but was an undistinguished student and obtained no diploma. In the 1880s he worked as a pianist in café-cabaret in Montmartre, Paris, and began composing works, mostly for solo piano, such as his Gymnopédies and Gnossiennes. He also wrote music for a Rosicrucian sect to which he was briefly attached."
Jacob J. Sawyer,"Jacob J. Sawyer (1856–1885) was an American composer, pianist, songwriter, and conductor.[1][2] His Welcome to the Era March (1877) was included in James Monroe Trotter's Music and Some Highly Musical People (1878).[3]"
Manuel Saumell,"Manuel Saumell Robredo (19 April 1818[1] – 14 August 1870), was a Cuban composer known for his invention and development of genuinely creolized forms of music.[2][3] For this reason he gets the credit for being the first to cultivate Cuban musical nationalism, and is of similar standing to Glinka who initiated Russian musical nationalism with A Life for the Tsar at about the same time."
Émile Sauret,"Émile Sauret (22 May 1852 – 12 February 1920) was a French violinist and composer. Sauret wrote over 100 violin pieces, including a famous cadenza for the first movement of Niccolò Paganini's First Violin Concerto, and the ""Gradus ad Parnassum"" (1894)."
Jane Savage,"Jane Savage (born 1752/1753, died 1824) was an English harpsichordist and composer. She was the daughter of English musician and composer William Savage (c. 1720–1789) and his wife Mary Bolt Savage. It is likely that Jane Savage accompanied her father from his estate near Tenterden in Kent to London in 1780 or 1781 and lived in Red Lion Square, Holborn.[1] Most of her music was published in this period.[2] Her output was mainly vocal or keyboard works, described as ""drawing-room pieces"".[3] No modern edition of her works exists.[3]"
Alice Sauvrezis,"Alice Marie Marguerite Sauvrezis (4 April 1866[1] – 12 April 1946) was a French composer, pianist, choral conductor and concert organiser. As an active member of a group of Breton composers in Paris and as president of the Société Artistique et Littéraire de l'Ouest she promoted Celticist music and culture in France."
Benedikt Schack,"Benedikt Emanuel Schack[1] (Czech: Benedikt Žák) (7 February 1758 – 10 December 1826) was a composer and tenor of the Classical era, a close friend of Mozart and the first performer of the role of Tamino in Mozart's opera The Magic Flute."
Philipp Scharwenka,"Ludwig Philipp Scharwenka (16 February 1847, in Szamotuły [Samter], Grand Duchy of Posen – 16 July 1917, in Bad Nauheim) was a German-Polish composer and teacher of music. He was the older brother of Xaver Scharwenka."
Xaver Scharwenka,"Theophil Franz Xaver Scharwenka (6 January 1850 – 8 December 1924) was a German pianist,[1] composer and teacher of Polish descent.  He was the brother of Ludwig Philipp Scharwenka (1847–1917), who was also a composer and teacher of music."
Delphine von Schauroth,Delphine von Schauroth  (13 March 1813 – 1887) was a German pianist and composer.
Leopold Schefer,"Leopold Schefer (30 July 1784 in Muskau – 13 February 1862 in Muskau), German poet, novelist, and composer, was born in a small town in Upper Lusatia (then under Saxon rule), the only child of a poor country doctor."
Johann Baptist Schenk,Johann Baptist Schenk (30 November 1753 – 29 December 1836) was an Austrian composer and teacher.
Louis Schlösser,"Louis Schlösser  (17 November 1800 – 17 November 1886), born in Darmstadt where he made his career, was a violinist, composer and conductor. He met Ludwig van Beethoven in 1822, and his recollections of this give a useful impression of Beethoven."
Demetrius Stefanovich Schilizzi,"Demetrius Stefanovich Schilizzi (many spellings; Greek: Δημήτριος Στεφάνοβικ Σκυλίτσης; 1839–1893) was an Ottoman-born Greek banker in London and Paris, and later a steamship owner in Constantinople.[1] He was also the acting Italian consul in Calcutta for some time starting in 1864,[2][3][4] and an amateur composer."
Ernest Schelling,"Ernest Henry Schelling (July 26, 1876 – December 8, 1939) was an American pianist, composer, and conductor, and music director. He was the conductor of the Baltimore Symphony Orchestra from 1935 to 1937.[1][2]"
Mon Schjelderup,Mon Schjelderup (16 June 1870 – 21 November 1934)  was a Norwegian composer and pianist.
Louis Schindelmeisser,"Louis (Ludwig) Alexander Balthasar Schindelmeisser (8 December 1811 - 30 March 1864) was a nineteenth-century German clarinetist, conductor and composer. He was born Königsberg, Prussia, and studied in Berlin and Leipzig. He was an early and enthusiastic partisan of Richard Wagner, arranging his first performances in Wiesbaden and Darmstadt of Tannhäuser, of which he conducted the premiere, Rienzi and Lohengrin."
Franz Schmidt (composer),"Franz Schmidt, also Ferenc Schmidt (22 December 1874 – 11 February 1939) was an Austro-Hungarian composer, cellist and pianist.[1][2]"
Aloys Schmitt,"Aloys Schmitt (26 August 1788 – 25 July 1866) was a German composer, pianist and music teacher. He was born in Erlenbach am Main. He studied composition with Johann Anton André in Offenbach.[1] In 1824 he was appointed court composer in Munich.  He received an honorary doctorate from the University of Giessen."
Jean Schneitzhoeffer,Jean Madeleine Marie Schneitzhöeffer (13 October 1785 – 14 October 1852) was a French composer.
Friedrich Schneider,"Johann Christian Friedrich Schneider (3 January 1786 in Alt-Waltersdorf – 23 November 1853 in Dessau) was a German pianist, composer, organist, and conductor."
W. E. Scholz,W. E. Scholz (c. 1800 – September 1866)[1] was a German composer and Kapellmeister / conductor at the court of Prince August zu Hohenlohe-Öhringen in  Schlawentzitz [de] in Upper Silesia.
Josef Schrammel,"Josef Schrammel, (3 March 1852 – 24 November 1895), was an Austrian composer and musician."
Henry Schoenefeld,"Henry Schoenefeld, also spelled Henry Schoenfeld (October 4, 1857 in Milwaukee – August 4, 1936 in Los Angeles) was an American composer."
Florent Schmitt,"Florent Schmitt (French pronunciation: ​[flɔʁã ʃmit]; 28 September 1870 – 17 August 1958) was a French composer. He was part of the group known as Les Apaches. His most famous pieces are La tragédie de Salome and Psaume XLVII (Psalm 47). He has been described as ""one of the most fascinating of France's lesser-known classical composers"".[1]"
Johann Schrammel,"Johann Schrammel, (22 May 1850 – 17 June 1893), was an Austrian composer and musician."
François Schubert,"François Schubert (né Franz Anton Schubert (the Younger); 22 July 1808, Dresden – 12 April 1878, Dresden) was a violinist and composer."
Ferdinand Schubert,"Ferdinand Schubert (born 18 October 1794 in Vienna; died 26 February 1859) was an Austrian composer and brother of Franz Schubert. He also designed the grave stone for the grave of Ludwig van Beethoven, which is now at Vienna's Central Cemetery.[1]"
Franz Schreker,"Franz Schreker (originally Schrecker; 23 March 1878 – 21 March 1934) was an Austrian composer, conductor, teacher and administrator.[1] Primarily a composer of operas, Schreker developed a style characterized by aesthetic plurality (a mixture of Romanticism, Naturalism, Symbolism, Impressionism, Expressionism and Neue Sachlichkeit), timbral experimentation, strategies of extended tonality and conception of total music theatre into the narrative of 20th-century music."
Ludwig Schuberth (composer),Ludwig Schuberth (né Carl Gottfried Schuberth; 18 April 1806 – May 1850) was a German composer.
Julius Schulhoff,"Julius Schulhoff (Julius Šulhov) (2 August 1825 – 15 March 1898) was a Bohemian pianist and composer of Jewish birth. As a composer, he was best known for his virtuosic salon pieces for solo piano, which included a grand sonata in F minor, twelve études, and various caprices, impromptus, waltzes, and mazurkas."
Camillo Schumann,Camillo Schumann (10 March 1872 – 29 December 1946) was a German late Romantic composer and organist.
Franz Schubert,"Franz Peter Schubert (German: [ˈfʁant͡s ˈpeːtɐ ˈʃuːbɐt]; 31 January 1797 – 19 November 1828) was an Austrian composer of the late Classical and early Romantic eras. Despite his short lifetime, Schubert left behind a vast oeuvre, including more than 600 secular vocal works (mainly lieder), seven complete symphonies, sacred music, operas, incidental music, and a large body of piano and chamber music. His major works include ""Erlkönig"" (D. 328), the Piano Quintet in A major, D. 667 (Trout Quintet), the Symphony No. 8 in B minor, D. 759 (Unfinished Symphony), the ""Great"" Symphony No. 9 in C major, D. 944, the String Quintet (D. 956), the three last piano sonatas (D. 958–960), the opera Fierrabras (D. 796), the incidental music to the play Rosamunde (D. 797), and the song cycles Die schöne Müllerin (D. 795) and Winterreise (D. 911)."
Clara Schumann,"Clara Josephine Schumann ([ˈklaːʁa ˈʃuːman]; née Wieck; 13 September 1819 – 20 May 1896) was a German pianist, composer, and piano teacher. Regarded as one of the most distinguished pianists of the Romantic era, she exerted her influence over the course of a 61-year concert career, changing the format and repertoire of the piano recital from displays of virtuosity to programs of serious works. She also composed solo piano pieces, a piano concerto (her Op. 7), chamber music, choral pieces, and songs."
Ludwig Schuncke,"Christian Ludwig Schuncke (21 December 1810 – 7 December 1834) was a German pianist and composer, and close friend of Robert Schumann.  His early promise was eclipsed by his death from tuberculosis at the age of 23."
Eduard Schütt,"Eduard Schütt (Russian: Эдуард Шютт; 22 October 1856 – 26 July 1933) was a Russian composer, pianist, and conductor."
Ludvig Schytte,"Ludvig Schytte (28 April 1848 in Aarhus – 10 November 1909 in Berlin) was a Danish composer, pianist, and teacher."
Robert Schumann,"Robert Schumann[a] (German: [ˈʁoːbɛʁt ˈʃuːman]; 8 June 1810 – 29 July 1856) was a German composer, pianist, and influential music critic. He is widely regarded as one of the greatest composers of the Romantic era. Schumann left the study of law, intending to pursue a career as a virtuoso pianist. His teacher, Friedrich Wieck, a German pianist, had assured him that he could become the finest pianist in Europe, but a hand injury ended this dream. Schumann then focused his musical energies on composing."
Cyril Scott,"Cyril Meir Scott (27 September 1879 – 31 December 1970) was an English composer, writer, poet, and occultist.  He created around four hundred musical compositions including piano, violin, cello concertos, symphonies, and  operas. He also wrote around 20 pamphlets and books on occult topics and natural health."
Franciszek Ścigalski,"Vincent Francis de Sales Ścigalski Blazej (29 January 1782 in Grodzisk Wielkopolski – August 27 or September 27 in 1846 in Gniezno) was a Polish composer , violinist and conductor.[1][2][3]"
Antonio Scontrino,"Antonio Scontrino (17 May 1850, Trapani – 7 January 1922, Florence) was an Italian composer."
Friedrich Seitz,"Friedrich Seitz (12 June 1848, Günthersleben-Wechmar, Saxe-Coburg and Gotha – 22 May 1918) was a German Romantic Era composer. He was a violinist who served as a concertmaster, who wrote chamber music and eight student concertos for the violin."
Alexander Scriabin,"Alexander Nikolayevich Scriabin[1] (/skriˈɑːbɪn/;[2] Russian: Александр Николаевич Скрябин [ɐlʲɪˈksandr nʲɪkəˈɫaɪvʲɪtɕ ˈskrʲæbʲɪn]; 6 January 1872 [O.S. 25 December 1871] – 27 April [O.S. 14 April] 1915) was a Russian composer and virtuoso pianist. Before 1903, Scriabin was greatly influenced by the music of Frédéric Chopin[3] and composed in a relatively tonal, late Romantic idiom. Later, and independently of his influential contemporary, Arnold Schoenberg, Scriabin developed a much more dissonant musical language that had transcended usual tonality but was not atonal,[4] which accorded with his personal brand of metaphysics. Scriabin found significant appeal in the concept of Gesamtkunstwerk as well as synesthesia, and associated colours with the various harmonic tones of his scale, while his colour-coded circle of fifths was also inspired by theosophy. He is often considered the main Russian Symbolist composer and a major representative of the Russian Silver Age.[4]"
Simon Sechter,"Simon Sechter (11 October 1788 – 10 September 1867) was an Austrian music theorist, teacher, organist, conductor and composer. He was one of the most prolific composers who ever lived, although his music is largely forgotten and he is now mainly remembered as a strict music teacher, most notably of Anton Bruckner."
Hilda Sehested,Hilda Sehested (27  April 1858 – 15 April 1936) was a Danish composer. [1]
Karel Šebor,Karel Richard Šebor (13 August 1843 – 18 May 1903) was a Czech opera composer.
William Christian Sellé,"William Christian Sellé, also known as Wilhelm Kristian Selle (1813–1898) was a Victorian doctor of music, composer and for forty years Musician in Ordinary to Queen Victoria."
Alexander Serov,"Alexander Nikolayevich Serov (Russian: Алекса́ндр Никола́евич Серо́в, Saint Petersburg, 23 January [O.S. 11 January] 1820 – Saint Petersburg, 1 February [O.S. 20 January] 1871) was a Russian composer and music critic. He is notable as one of the most important music critics in Russia during the 1850s and 1860s and as the most significant Russian composer in the period between Dargomyzhsky's Rusalka and the works of Rimsky-Korsakov, Mussorgsky, and Tchaikovsky."
Louis-Nicolas Séjan,Louis-Nicolas Séjan (10 June 1786[1] – March or April 1849[1]) was a French organist and composer.
Paolo Serrao,Paolo Serrao (11 April 1830 – 17 March 1907) was a distinguished and influential Italian teacher of musical theory and composition at Naples.
Emilio Serrano y Ruiz,Emilio Serrano y Ruiz (13 March 1850 – 8 April 1939) was a Spanish pianist and composer.
Tokichi Setoguchi,"Tokichi Setoguchi (瀬戸口藤吉, Setoguchi Tōkichi, 28 June 1868 – 8 November 1941) was a Japanese composer, music educator, conductor and clarinetist."
Adrien-François Servais,"Adrien-François Servais (6 June 1807 – 26 November 1866) was one of the most influential cellists of the nineteenth century. He was born and died in Halle, Belgium. He is one of the founders of the Modern Cellistic Schools of Paris and Madrid, which began with his friend Auguste Franchomme and his disciple Víctor Mirecki Larramat. His compositions are still being studied, performed and recorded all over the world.[1]"
Charlotta Seuerling,"Charlotta Antonia ""Charlotte Antoinette"" Seuerling (1782/1784 – 25 September 1828), was a blind Swedish concert singer, harpsichordist, composer and poet, known as ""The Blind Song-Maiden"". She was active in Sweden, Finland and Russia. Her last name is also spelled as Seijerling and Seyerling. Her first name was Charlotta Antoinetta (or Antonia), but in the French fashion of the time, she was often called Charlotte Antoinette. She was the author of the popular song ""Sång i en melankolisk stund""."
Giovanni Sgambati,Giovanni Sgambati (28 May 1841 – 14 December 1914) was an Italian pianist and composer.
Déodat de Séverac,Marie-Joseph Alexandre Déodat de Séverac (pronounced [deoda də sevəʁak]; 20 July 1872 – 24 March 1921) was a French composer.
Ignaz von Seyfried,"Ignaz Xaver, Ritter von Seyfried[1] (15 August 1776 – 27 August 1841) was an Austrian musician, conductor and composer. He was born and died in Vienna. According to a statement in his handwritten memoirs[2] he was a pupil of both Wolfgang Amadeus Mozart and Johann Georg Albrechtsberger. He edited Albrechtsberger's complete written works after his death, published by Tobias Haslinger. His own pupils included Franz von Suppé, Heinrich Wilhelm Ernst, Antonio Casimir Cartellieri, Joseph Fischhof and Eduard Marxsen who would later teach Brahms."
Oliver Shaw,"Oliver Shaw (March 13, 1779[1] – December 31, 1848[2]), was one of the first American composers.[3]"
